Alavés,1921
Albacete,1940
Alcorcón,1971
Alcoyano,1928
Algeciras,1912
Alicante,1918
Almería,1989
Almería (A.D.),1971
Alzira,1922
At. Madrid,1903
At. Madrid B,1963
Ath. Bilbao,1898
Ath. Bilbao B,1964
Avilés,1903
Badajoz,1905
Barakaldo,1917
Barcelona,1899
Barcelona B,1970
Betis,1907
Burgos,1922
Burgos (Real),1983
Cádiz,1910
Calvo Sotelo,1948
Cartagena,1919
Cartagena F.C.,1919
Castellón,1922
Celta,1923
Ceuta,1956
Compostela,1962
Córdoba,1954
Cult. Leonesa,1923
Dptivo. Coruña,1906
Écija,1939
Éibar,1940
Ejido,1969
Elche,1923
Ensidesa,1956
Espanyol,1900
Extremadura,1924
Ferrol,1919
Figueres,1919
Getafe,1983
Gimn. Tarragona,1914
Girona,1930
Granada,1931
Granada 74,2007
Guadalajara,1947
Hércules,1922
Huesca,1960
Jaén,1922
Las Palmas,1949
Leganés,1928
Levante,1909
Linares,1960
Llagostera,1947
Lleida,1939
Logroñés,1940
Lorca,1960
Lugo,1953
Málaga,1948
Málaga (C.D.),1933
Málaga B,1990
Mallorca,1916
Mallorca B,1983
Marbella,1947
Mérida,1912
Mirandés,1927
Mollerussa,1930
Murcia,1920
Numancia,1945
Orihuela,1944
Osasuna,1920
Ourense,1952
Oviedo,1926
Palamós,1898
Palencia,1960
Ponferradina,1922
Pontevedra,1941
Rac. Santander,1913
Rayo Vallecano,1924
Real Madrid,1902
Real Madrid B,1972
Real Sociedad,1909
Real Unión,1915
Rec. Huelva,1889
Reus,1909
Sabadell,1903
Salamanca,1923
Sant Andreu,1909
Sestao,1916
Sevilla,1890
Sevilla B,1958
Sporting Gijón,1905
Tenerife,1922
Terrassa,1906
Toledo,1928
UCAM Murcia,2004
Univ.Las Palmas,1994
Valencia,1919
Valencia B,1944
Valladolid,1928
Vecindario,1962
Villarreal,1923
Villarreal B,1999
Xerez,1947
Zaragoza,1932
Zaragoza B,1965
