1589772,"'Non', ou A Vã Glória de Mandar",1990
1589789,'O' de amor,1995
1590361,...del Flaubert que leíste un día gris,1997
1590497,...Que ciento volando,1995
1590598,"...Y al tercer año, resucitó",1980
1591267,100 aviones de papel,1987
1591511,100% cubano,1993
1591648,1002,1992
1592156,127 millones libres de impuestos,1981
1592462,1492: Conquest of Paradise,1992
1593028,"1891 voltios, cariño",1999
1593119,"1919, crónica del alba",1983
1594448,2.0,1998
1594452,2.30 A.M.,1988
1595817,240,1998
1595987,26 grados a la sombra,1997
1596024,27 horas,1986
1597537,40 ezetz,1999
1599024,7 cabalgan hacia la muerte,1979
1599026,7 calles,1981
1599119,7 morts sur ordonnance,1975
1599424,8 (Infinito),1998
1599534,"8, 9 y 10",1999
1599808,9'8m/s²,1998
1600066,99.9,1997
1601293,A Business Affair,1994
1602094,A ciegas,1997
1602469,A contratiempo,1982
1603650,A deshoras,1994
1605316,A Further Gesture,1997
1605990,A Grande viaxe,1996
1606631,A Hora do té,1996
1606820,A Ilha,1990
1607111,A kien pueda interesar,1986
1607321,A l'ombra del Kilimanjaro. La sabana equatorial,1985
1607325,A la altura de los ojos,1988
1607348,"A la legión le gustan las mujeres... y a las mujeres, les gusta la legión",1976
1607371,A la pálida luz de la luna,1985
1608156,A los cuatro vientos,1987
1608164,A los que aman,1998
1608996,A metade da vida,1994
1609041,A mi querida mamá,1978
1609834,A mí quién me manda meterme en esto,1997
1609835,A mí qué me importa que explote Miami,1976
1610488,A pagar en destino,1999
1612094,A repesca,1995
1613435,A solas contigo,1990
1613782,A Star Too Far,1993
1614898,A tiro limpio,1996
1614933,A todo tren,1995
1615470,A un dios desconocido,1977
1615794,A Violeta,1999
1618616,Aberraciones sexuales de un diputado,1982
1618617,Aberraciones sexuales de una mujer casada,1981
1618764,Abierto (El eco del tiempo),1997
1618907,Abono fértil,1998
1618920,Abortar en Londres,1977
1619191,Abran las puertas,1995
1619211,Abre los ojos,1997
1619590,Abuelitos,1999
1619595,"Abuelo, le secret de mon grand-père",1997
1619748,Acampada,1998
1619941,Acción mutante,1993
1620461,Acosada,1985
1620995,Acto de posesión,1977
1621034,Actos Recíprocos,1997
1621046,Actrius,1997
1621088,Acueducto de Segovia,1985
1621230,Adagio para una estrella,1978
