Actor-Director
==============
Abad, Diego
Aguilar Vicente, Antonio
Alcalde, David
Alessandrin, Patrick
Almandoz, Koldo
AmenC!bar, Alejandro
Andueza, Jon
Aristarain, Adolfo
Artacho, RaC:l
Atanes, Carlos
Azuelos, Lisa
BalletbC2-Coll, Marta
Barrera, Gustavo
Bettman, Gil
Blanco, JosC) MarC-a
Bonet, JosC) Antonio
Boulois, Max H.
Brandt, Tony
BrasC3, Enrique
Briones, Arturo
Calatrava, Francisco
Calatrava, Manuel
Capell, Francesc Xavier
Caro, Marc
Castellari, Enzo G.
Ceesepe
Cerezo, RaC:l
Cervera, Albert
Cesena, Marcello
Cohen, Emma
Conesa, Carmen
Cornejo, Antonio
CortC)s, Rodrigo
DC-ez Esteban, JosC) Luis
De Bran, Fernando
Deruelle, Alain
Devesa, IC1aki
Domingo, Javier
FC!ver, HC)ctor
FeliC:, Guillem
FernC!n GC3mez, Fernando
Fesser, Javier
Figueroa, Diego
Fulci, Lucio
GC!rate, Antonio
GC3mez, JoaquC-n
GarcC-a de DueC1as, JesC:s
GarcC-a del Val, Cngel
GarcC-a, Sixto
Gil, Mateo
GimC)nez-Arnau, Jimmy
Gordon, David
GrC cia, Joan
Gracia, Sancho
Grau, Paul
Grau, RamC3n
Guevara, Enrique
HernC!ndez, Antonio
HernC!ndez, Antonio G.
Hung Kam-Bo, Sammo
IbC!C1ez Serrador, Narciso
Iborra, Juan Luis
Jerez, AndrC)s
JordC , Joaquim
Jugnot, GC)rard
Kastner, Daphna
LC!zaro, Eusebio
LC3pez, Albert
Ladoire, Cscar
Lang, Perry
Lattuada, Alberto
Leconte, Patrice
Lee, Spike
Lelouch, Claude
Lenzi, Umberto
Liu, John
Lynch, David
Maggini, Matteo
Margheriti, Antonio
MarimC3n, FermC-n
MartC-nez, Juan Carlos
Martin, George
Mathot, Olivier
Mayans, Antonio
McGregor, Emilio
Merinero, Fernando
Molina, Juan Luis
Molino Rojo, Antonio
Montoya, Clex
MonzC3, GermC!n
MuC1oz de Mesa, Antonio
Naschy, Paul
Navarro, RaC:l
Novallas, Curro
Oliver, Enrique
Orth, Jacques
Ortiz de Errasti, C
C1igo
Ouedraogo, Idrissa
Ozores, Antonio
PC)rez de Torres, Alberto
Pajares, AndrC)s
Palacios, Ricardo
Planchon, Roger
Ponte, Alber
RC-os San MartC-n, Manuel
Ramos, JosC) Antonio
Real, Antonio del
Retes, Gabriel
Ribelles, Ricardo
Rivette, Jacques
Rollin, Jean
Romay, Lina
Ros, Mireia
RubiC3, Sergi
Rubio, Isma
Ruiz de Austri, Maite
Ruiz, Pedro
SC!bato, Mario
SC!nchez-Cabezudo, Jorge
SacristC!n, JosC)
Sambrell, Aldo
Santana, AndrC)s
Santos, Carles
Segura, Santiago
Serra, Koldo
Seva, Vicente
Sojo, Kepa
Soriano, Emilio
SuC!rez Vega, Julio
TC)bar, Juan
Tognazzi, Ugo
Torbe
Torres, Vicente
Tortosa, Silvia
Turturro, John
Ullmann, Liv
Varda, AgnC(s
Villanueva, Sergio
Vivas, Miguel Cngel
Weber, Jacques
Welles, Orson
Wilson, Hugh
Wizuete, Julio
Yursky, Sergei
Zhang, Yimou
de Turckheim, Charlotte
von Trier, Lars
