1	EMB-145XR	EMBRAER	Turbo-Fan	Fixed Wing Multi-Engine
2	A320-214	AIRBUS INDUSTRIE	Turbo-Fan	Fixed Wing Multi-Engine
3	737-3TO	BOEING	Turbo-Jet	Fixed Wing Multi-Engine
4	747-422	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
5	EMB-145LR	EMBRAER	Turbo-Fan	Fixed Wing Multi-Engine
6	747-451	BOEING	Turbo-Jet	Fixed Wing Multi-Engine
7	737-824	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
8	EMB-135LR	EMBRAER	Turbo-Fan	Fixed Wing Multi-Engine
9	737-524	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
10	767-332	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
11	757-224	BOEING	Turbo-Jet	Fixed Wing Multi-Engine
12	737-76N	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
13	EMB-145EP	EMBRAER	Turbo-Jet	Fixed Wing Multi-Engine
14	DC-9-31	DOUGLAS	Turbo-Jet	Fixed Wing Multi-Engine
15	DC-9-31	MCDONNELL DOUGLAS	Turbo-Jet	Fixed Wing Multi-Engine
16	737-724	BOEING	Turbo-Jet	Fixed Wing Multi-Engine
17	EMB-135ER	EMBRAER	Turbo-Jet	Fixed Wing Multi-Engine
18	767-3P6	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
19	737-3G7	BOEING	Turbo-Jet	Fixed Wing Multi-Engine
20	CL-600-2B19	CANADAIR	Turbo-Jet	Fixed Wing Multi-Engine
21	A321-211	AIRBUS INDUSTRIE	Turbo-Jet	Fixed Wing Multi-Engine
22	737-33A	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
23	737-7BD	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
24	CL-600-2B19	BOMBARDIER INC	Turbo-Fan	Fixed Wing Multi-Engine
25	ERJ 190-100 IGW	EMBRAER	Turbo-Fan	Fixed Wing Multi-Engine
26	A321-211	AIRBUS	Turbo-Jet	Fixed Wing Multi-Engine
27	757-2B7	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
28	737-7H4	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
29	150	CESSNA	Reciprocating	Fixed Wing Single-Engine
30	A320-214	AIRBUS	Turbo-Fan	Fixed Wing Multi-Engine
31	421C	CESSNA	Reciprocating	Fixed Wing Multi-Engine
32	737-322	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
33	757-23N	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
34	777-222	BOEING	Turbo-Fan	Fixed Wing Multi-Engine
35	DC-9-82(MD-82)	MCDONNELL DOUGLAS	Turbo-Fan	Fixed Wing Multi-Engine
36	SAAB 340B	SAAB-SCANIA	Turbo-Prop	Fixed Wing Multi-Engine
37	EMB-120ER	EMBRAER	Turbo-Prop	Fixed Wing Multi-Engine
38	EMB-120	EMBRAER	Turbo-Prop	Fixed Wing Multi-Engine
