1	Akron	OH	USA
2	Albuquerque	NM	USA
3	Alexandria	LA	USA
4	Allentown	PA	USA
5	Anchorage	AK	USA
6	Ardmore	OK	USA
7	Atlanta	GA	USA
8	Atlantic City	NJ	USA
9	Augusta	GA	USA
10	Bakersfield	CA	USA
11	Baltimore	MD	USA
12	Brunswick	GA	USA
13	Buffalo	NY	USA
14	Charleston	SC	USA
15	Charlotte Amalie	VI	USA
16	Chicago	IL	USA
17	Chicago/Schaumburg	IL	USA
18	Christiansted	VI	USA
19	Cincinnati	OH	USA
20	Cleveland	OH	USA
21	Clinton	OK	USA
22	Colorado Springs	CO	USA
23	Columbia	SC	USA
24	Columbus	OH	USA
25	Cordova	AK	USA
26	Dallas	TX	USA
27	Dayton	OH	USA
28	Denver	CO	USA
29	Detroit	MI	USA
30	Dover	DE	USA
31	Duluth	MN	USA
32	Eufaula	OK	USA
33	Eureka	CA	USA
34	Fajardo	PR	USA
35	Forks	WA	USA
36	Fort Wayne	IN	USA
37	Fort Worth	TX	USA
38	Fresno	CA	USA
39	Friday Harbor	WA	USA
40	Ft. Lauderdale	FL	USA
41	Ft. Myers	FL	USA
42	Greenville	SC	USA
43	Haines	AK	USA
44	Harrisburg	PA	USA
45	Hoonah	AK	USA
46	Houston	TX	USA
47	Huntsville	AL	USA
48	Indianapolis	IN	USA
49	Jackson	MS	USA
50	Jacksonville	FL	USA
51	Juneau	AK	USA
52	Kake	AK	USA
53	Kalispell	MT	USA
54	Kansas City	MO	USA
55	Ketchikan	AK	USA
56	Killeen	TX	USA
57	Klawock	AK	USA
58	Knoxville	TN	USA
59	Kodiak	AK	USA
60	Lake Charles	LA	USA
61	Las Vegas	NV	USA
62	Los Angeles	CA	USA
63	Louisville	KY	USA
64	Macon	GA	USA
65	Madison	WI	USA
66	Marana	AZ	USA
67	Memphis	TN	USA
68	Miami	FL	USA
69	Midland	TX	USA
70	Millington	TN	USA
71	Milwaukee	WI	USA
72	Minneapolis	MN	USA
73	Mobile	AL	USA
74	Monticello	NY	USA
75	Morrilton	AR	USA
76	NA	NA	USA
77	NA	NA	Palau
78	NA	NA	Thailand
79	NA	NA	Federated States of Micronesia
80	NA	NA	N Mariana Islands
82	Nashville	TN	USA
83	New Orleans	LA	USA
84	New York	NY	USA
85	Norfolk	VA	USA
86	Oklahoma City	OK	USA
87	Olathe	KS	USA
88	Omaha	NE	USA
89	Orlando	FL	USA
90	Overton	NV	USA
91	Palm Springs	CA	USA
92	Peoria	IL	USA
93	Petersburg	AK	USA
94	Philadelphia	PA	USA
95	Phoenix	AZ	USA
96	Pittsburgh	PA	USA
97	Pittstown	NJ	USA
98	Portland	OR	USA
99	Pottstown	PA	USA
100	Redding	CA	USA
101	Reno	NV	USA
102	Richmond	VA	USA
103	Riverside	CA	USA
104	Sacramento	CA	USA
105	Salt Lake City	UT	USA
106	San Antonio	TX	USA
107	San Diego	CA	USA
108	San Jose	CA	USA
109	San Juan	PR	USA
110	Seattle	WA	USA
111	Shreveport	LA	USA
112	Sitka	AK	USA
113	Skagway	AK	USA
114	Spokane	WA	USA
115	St Charles	MO	USA
116	St Louis	MO	USA
117	St Paul	MN	USA
118	St. Petersburg	FL	USA
119	Tampa	FL	USA
120	Titusville	FL	USA
121	Toledo	OH	USA
122	Topeka	KS	USA
123	Tucson	AZ	USA
124	Tulsa	OK	USA
125	Visalia	CA	USA
126	Waco	TX	USA
127	West Palm Beach	FL	USA
128	Wichita	KS	USA
129	Wichita Falls	TX	USA
130	Wrangell	AK	USA
131	Yakutat	AK	USA
132	Bay Springs	MS	USA
